id,text,language,source,uci_binary,label,annotator,template_group,notes
uci_02400,Oh... Kay... On sat right?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,0cb1096578cc,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02401,Hi! This is Roger from CL. How are you?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,778a76c65a23,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02402,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),en,uci_sms_spam_collection_v1,spam,AD,,cd8511d877c1,提供色情交友服务推广并要求付费订阅成人内容，属于成人广告类营销
uci_02403,Oh oh... Wasted... Den muz chiong on sat n sun liao...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,f184a822e05d,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02404,Jesus christ bitch I'm trying to give you drugs answer your fucking phone,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,dfcfb81dae09,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02405,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,afe6e6a631dc,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02406,I'm meeting Darren...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,41d62a6a831a,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02407,"One of best dialogue in cute reltnship..!! ""Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,5d80e6415da3,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02408,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,c73433d1aba6,侦探推理谜题转发消息，属于娱乐类转发内容，不属前四类
uci_02409,Dear where you will be when i reach there,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,839840fa8a6e,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
