id,text,language,source,orig_label,suggested_label,suggest_reason,label,annotator,template_group,notes
id_ss_00000,"Kami berharap untuk pergi pada 7, dari Langport. Anda masih naik untuk kota malam ini?",id,spamshield_indonesian_v1,ham:normal,NEEDS_REVIEW,orig-ham-chat-or-unclear,,,0801820ee72d,may-include-mt-uci-style
id_ss_00001,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",id,spamshield_indonesian_v1,ham:normal,NEEDS_REVIEW,orig-ham-chat-or-unclear,,,52602f9ed52e,may-include-mt-uci-style
id_ss_00002,"Mungkin akan ada di sini untuk sementara waktu, lihat nanti malam ini &lt;)",id,spamshield_indonesian_v1,ham:normal,NEEDS_REVIEW,orig-ham-chat-or-unclear,,,058eb333c137,may-include-mt-uci-style
id_ss_00003,"Tidak (dalam suara sterm) - saya belajar. semuanya baik-baik saja dengan saya! tidak pasti hal itu akan diselesaikan, tho. bagaimanapun.",id,spamshield_indonesian_v1,ham:normal,NEEDS_REVIEW,orig-ham-chat-or-unclear,,,3e83dd58b270,may-include-mt-uci-style
id_ss_00004,CLAIRE di sini saya havin borin waktu & sekarang saya sendirian U wanna cum over 2nite? Chat sekarang 09099725823 harapan 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,id,spamshield_indonesian_v1,spam:spam,NEEDS_REVIEW,orig-spam-unclear,,,5dec77b7bb3f,may-include-mt-uci-style
id_ss_00005,Apakah ponsel Anda 10 mths? Update ke terbaru Orange camera/video phone for FREE. Save £s with Free text/weekend calls. Text YES for a callback orno to opt out,id,spamshield_indonesian_v1,spam:spam,NEEDS_REVIEW,orig-spam-unclear,,,759870887753,may-include-mt-uci-style
id_ss_00006,Anda telah memenangkan anugerah yang dijamin 32000 atau mungkin bahkan £ 1000 tunai untuk menuntut ur anugerah panggilan gratis pada 0800 ..... (18+).,id,spamshield_indonesian_v1,spam:spam,FRAUD,id-fraud-keywords,,,f47117b59f1b,may-include-mt-uci-style
id_ss_00007,Apa yang terjadi jika tidak pulang ke rumah 4 makan malam?,id,spamshield_indonesian_v1,ham:normal,NEEDS_REVIEW,orig-ham-chat-or-unclear,,,a4c1bb26d4d1,may-include-mt-uci-style
id_ss_00008,**FREE MESSAGE**Terima kasih atas penggunaan Layanan Subscription Auction. 18 . 150p/MSGRCVD 2 Skip a Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,id,spamshield_indonesian_v1,spam:spam,NEEDS_REVIEW,orig-spam-unclear,,,e47fa922afb4,may-include-mt-uci-style
id_ss_00009,"Hi, wkend ok tapi perjalanan mengerikan. wk tidak baik karena memiliki rekaman belakang besar dari penanda untuk melakukan",id,spamshield_indonesian_v1,ham:normal,NEEDS_REVIEW,orig-ham-chat-or-unclear,,,395214fa848d,may-include-mt-uci-style
