id,text,language,source,orig_label,suggested_label,suggest_reason,label,annotator,template_group,notes
iiitd_pilot_0000,In japan_ Chin cha chu In south africa_ Hula hula hu In china_ Chin pang pu In Hawai_ Hu Lu Lu . . . In india_ Pagal hai tu!,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,4e0a63064471,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0001,"Bhooooooot!!,Wanna be spooked? Pick a haunted place...
1) Bhangarh, Rajasthan
2) Dumas Beach, Gujarat
3) Ramoji Film City, Hyderabad
4) Dow-Hill, West Bengal
^1/ 2/ 3/ 4
Reply for FREE to get details on each destination.",hi,iiitd_sms_spam_v1,spam,AD,quiz-or-promo-spam,,,0bc608d07e24,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0002,"Offer on NatureFresh Oliante, olive oil frm Spain, b/w1-10April.Buy 500ml-Get Rs75 off+250ml Free.Buy1L-Get Rs 250 off.Rs 750 off on5L.T&C Apply.sms NFO to 56677",hi,iiitd_sms_spam_v1,spam,AD,hi-ad-keywords,,,a281a1a947e2,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0003,im from tata indicom office gtk,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,b43648b39d78,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0004,Mobile Office  AIRTEL LIVE & MMS settings have been successfully delivered on your phone! Now you can access Airtel Live by long pressing '0' key on Nokia. On other Phones launch Internet Browser and select Airtel Live (or goto http://live.airtelworld.com)  You pay no activation  rental or browsing charges for Airtel Live. You only pay if you Download Content  or Send MMS.,hi,iiitd_sms_spam_v1,spam,TRANSACTION,hi-txn-keywords,,,dd8ff79e70b0,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0005,iology mam:Gals can u tell me xctly wer is ur heart? All d gals shoutd loudly 'OJASVI' k pass! Mam smiled&said: mera bh,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,6d9bcc581076,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0006,Nirala launches Aspire  - Noida extn 2/3/4 BHK  - No EMI for 30 mnths  - Corporate rates available  - Hurry for best locations Contact 9560090095,hi,iiitd_sms_spam_v1,spam,AD,hi-ad-keywords,,,bba207b3b553,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0007,"One Door Step Service for PAN Card Passport Assistance and Income Tax Return Contact ONS 9911730199, 9718887671 Krishna Complex Jwala Heri Mkt Paschim Vihar",hi,iiitd_sms_spam_v1,spam,NEEDS_REVIEW,spam-unclear,,,7f82a90e78a2,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0008,"i need u to tell me wot hapnd in colg, whether i shud order my cake or u will manage, wot n all wil v hv to drink n hw will u get all of it including champagne. n if ur coming wid me in d morning or nt? AND ALL OF THIS IS URGENT AND IMPORTANT, SO CALL ME ASAP!!!",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,11dfbb6ddf93,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0009,OTE NOW in the Avaya GlobalConnect Customer Responsiveness Award poll. Log onto www.avayaglobalconnect.com/readerspoll2010.asp to vote for ICICI Pru Life,hi,iiitd_sms_spam_v1,spam,AD,quiz-or-promo-spam,,,06f02389a3d3,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0010,IBLONG2U A fantastic student makes a fabulous teacher! I am a fantastic student n thank u 4 making me a fantabulous teacher! Dinesh Ghodke,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,860ca6aa85e1,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0011,I cn see u again:-P,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,2fd6d56fc38c,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0012,"Center Fresh ActiSport,What is the name of the sport shown in new Center Fresh ActiSport TVC?
1. Cricket
2. Swimming
3. Malkhamb
^1/2/3",hi,iiitd_sms_spam_v1,spam,NEEDS_REVIEW,spam-unclear,,,273832e54949,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0013,"Relatives Visiting? Take them sight seeing in a comfortable cab.  Call Meru on 44224422 or log on to www.merucabs.com - Meru Cabs,  Delhi",hi,iiitd_sms_spam_v1,spam,NEEDS_REVIEW,spam-unclear,,,9e2419f544c1,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0014,"Hangover Animals,Who do you think are more wild in the film 'Hangover'?
1) The animals
2) The boys
^1/2
Reply within 24 hours to get a trailer of the new film 'Hangover2'.",hi,iiitd_sms_spam_v1,spam,AD,quiz-or-promo-spam,,,2ab677ef2cf0,latin-script-hinglish-or-en-IN;not-devanagari
iiitd_pilot_0015,"I love D way u r, plz dont chnge! Send dis 2 evry1 u lyk, evn me if u lyk me. If u get bak,3=u r a gud frnd, 4=sum1 luvs u 5+= sum1 is prayin God 2 marry u.",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,172f7f1170f2,latin-script-hinglish-or-en-IN;not-devanagari
