id,text,language,source,prior_label,suggested_label,suggest_reason,label,annotator,template_group,notes,pack_role
id_ss_00244,"Ayah ingin berbicara tentang apartemen jadi saya mendapat awal terlambat, omw sekarang",id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,id_harass_hint,,,5cdb79d3d443,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00277,Aku akan terlambat...,id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,id_harass_hint,,,5c6563fecf1a,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00495,"Hi harap Anda mendapatkan ini txt~journey belum pernah gd, sekarang sekitar 50 menit terlambat saya pikir.",id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,id_harass_hint,,,c1814af957e3,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00528,"Selamat pagi, hari ini saya terlambat untuk 2h. karena sakit punggung.",id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,id_harass_hint,,,870b0a248fa7,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00714,Saya akan keluar sekitar 10:30 ingin sesuatu atau itu untuk terlambat?,id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,id_harass_hint,,,e9e372727fe7,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_01091,"Teman-teman yang terkasih, maaf atas keterlambatan informasi.Hari ini adalah ulang tahun kami yang tercinta Ar.Praveesh. untuk lebih banyak rincian login ke muka buku dan lihat.Nombornya + &lt;#&gt; .",id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,id_harass_hint,,,28d10f101a74,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_01188,"Oh, apa yang terjadi Charles minta maaf atas keterlambatan jawaban.",id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,id_harass_hint,,,39011dc4b1c0,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_01249,"Selamat malam Sir, harap Anda memiliki hari yang menyenangkan. saya ingin memberikannya kepada pemberitahuan Anda bahwa saya terlambat dalam membayar sewa selama beberapa bulan terakhir dan harus membayar $ &lt;#&gt; biaya. saya merasa akan tidak mempertimbangkan saya untuk bercakap tentang sesuatu yang Anda berikan dengan biaya yang besar kepada diri sendiri dan itulah sebabnya saya tidak berbicara. saya masih dalam resesi dan tidak akan dapat membayar biaya bulan ini oleh karena itu permintaan saya baik-baik saja sebelum akhir bulan.",id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,id_harass_hint,,,215fb7dc2eb4,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_01265,"Selamat pagi, hari ini saya terlambat &lt;#&gt; min.",id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,id_harass_hint,,,33429cfa0ca5,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00025,Apakah Anda ingin baru video phone750 kapan saja jaringan mins 150 teks untuk hanya lima pound per minggu hubungi 08000776320 sekarang atau jawab untuk pengiriman esok,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,276afbcbbf93,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00074,"Terima kasih atas pesanan Anda Ringtone, Reference T91. Anda akan dikenakan biaya GBP 4 per minggu. Anda dapat membatalkan langganan kapan saja dengan menghubungi layanan pelanggan di 09057039994",id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,e477d6c0913e,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00125,Apakah Anda ingin 750 kapan saja setiap jaringan kurang dari 150 teks dan telepon video baru untuk hanya lima pound per minggu hubungi 08000776320 sekarang atau jawab untuk pengiriman Esok,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,74edb9803a7b,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00205,"Kami baru-baru ini mencoba untuk membuat pengiriman kepada Anda tetapi tidak dapat melakukannya, silakan hubungi 07090298926 untuk jadwal ulang. Ref:9307622",id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,a1a88ab74666,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00206,"Terima kasih untuk pesanan ringtone Anda, nomor referensi X49.Mobil Anda akan diisi 4.50.Jika nada Anda tidak tiba, silakan hubungi layanan pelanggan 09065989182",id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,762af2817410,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00337,"Terima kasih untuk pesanan ringtone Anda, nomor ref R836. ponsel Anda akan dikenakan biaya £4.50. Jika ton Anda tidak tiba, silakan hubungi layanan pelanggan di 09065069154",id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,762af2817410,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00341,Kami mencoba untuk menghubungi Anda kembali penawaran kami dari New Video Phone 750 kapan saja mana-mana rangkaian mins HALF PRICE Rental camcorder call 08000930705 atau jawab untuk pengiriman Wed,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,596ac35657e9,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00412,Anda telah memesan Ringtone. pesanan Anda sedang diproses...,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,063360bb8cf5,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00456,Ingin handset video terbaru? 750 kapan saja apa-apa rangkaian mins? sewa garis harga setengah? jawab atau hubungi 08000930705 untuk pengiriman esok,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,b4088c38b72f,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00487,Simpan uang pada pakaian pernikahan di www.bridal.petticoatdreams.co.uk Pilih dari pilihan yang bagus dengan pengiriman nasional.,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,291f1d24b10a,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00570,Anda memiliki pengiriman Tahun Baru menanti Anda. silakan hubungi 07046744435 sekarang untuk mengatur pengiriman,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,cb7ea846d785,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00592,"Terima kasih untuk pesanan ringtone Anda, nomor referensi X29. ponsel Anda akan diisi 4.50. Jika nada Anda tidak tiba, silakan hubungi layanan pelanggan 09065989180",id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,762af2817410,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00635,Ini msg adalah untuk pesanan konten mobile Anda Ia telah terkejut karena percobaan sebelumnya gagal karena kesalahan jaringan Pertanyaan ke customersqueries@netvision.uk.com,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,6167ac0df7a5,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00722,Kami mencoba untuk menghubungi Anda kembali jawaban Anda untuk penawaran kami dari Nokia baru dan camcorder hit jawaban atau hubungi 08000930705 untuk pengiriman,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,432b99813268,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00728,Apakah Anda ingin handset video baru? 750 kapan saja apa-apa rangkaian mins? Penyewaan Half Price Line? Camcorder? Jawab atau hubungi 08000930705 untuk pengiriman esok,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,3ecec4681122,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00859,INTERFLORA - Tidak terlambat untuk memesan bunga Interflora untuk Natal panggilan 0800 505060 untuk membuat pesanan Anda sebelum tengah malam esok.,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,ebf3e327167e,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_00954,"Terima kasih untuk pesanan ringtone Anda, nomor ref K718. ponsel Anda akan dikenakan biaya £4.50. Jika ton Anda tidak tiba, silakan hubungi layanan pelanggan di 09065069120",id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,762af2817410,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_01003,Apakah Anda ingin 750 kapan saja apa-apa jaringan kurang dari 150 teks dan baru video telepon untuk hanya lima pound per minggu panggilan 08002888812 atau jawab untuk pengiriman esok,id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,18fa480c7ca8,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_01036,"Kami baru-baru ini mencoba untuk membuat pengiriman kepada Anda tetapi tidak dapat melakukannya, silakan hubungi 07099833605 untuk jadwal ulang.",id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,a1a88ab74666,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_01120,"Ola akan mendapatkan kembali kepada Anda mungkin tidak hari ini tetapi saya memberitahu dia Anda dapat menjadi link langsung di AS dalam mendapatkan mobil yang dia tawarkan untuk online, Anda mengatur pengiriman dan Anda mendapatkan potongan. Atau U????? Untuk perkongsian di mana U????? Investasikan uang untuk pengiriman dan dia menjaga selebihnya!",id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,7c5c07501bc9,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_ss_01256,"Terima kasih untuk pesanan ringtone Anda, nomor referensi X49. ponsel Anda akan diisi 4.50. Jika nada Anda tidak tiba, silakan hubungi layanan pelanggan 09065989182.",id,spamshield_indonesian_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,762af2817410,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_yudi_00477,"Selamat anda telah terdaftar member M-PULSA dengan kode agen D303-111 Pin anda 1234 Saldo anda Rp,0.- untuk menambah saldo Ketik INFO Kirim ke +6287820008358",id,yudiwbs_id_sms_spam_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,f00db1084edf,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_yudi_00801,"Isi saldo nya bisa di grapari, indomaret, ato di tf dari bca",id,yudiwbs_id_sms_spam_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,115534a69792,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_yudi_00898,Maaf bu kalau pesanannya bebek atau ayam ya,id,yudiwbs_id_sms_spam_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,a681ce21d0c6,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_yudi_00977,Pagi bu saya dengan nama1 dari Bebek Komar ...sangat bisa bu untuk pesanan besok bu...menu yang di pesan apa ya bu...diantar ke mana ya...nuhun,id,yudiwbs_id_sms_spam_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,950e69c29067,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_yudi_01076,Teh maaf kalau teteh sibuk gpp nanti bayar besok aja pas pengiriman,id,yudiwbs_id_sms_spam_v1,NEEDS_REVIEW,TRANSACTION,id_txn_hint,,,f333bb088b86,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
id_yudi_00280,dapatkan total hadiah ratusan juta rupiah di Kota 1000 Berkah. Caranya? Klik www.murahituim3.com/kota1000berkah Program s.d 9 Agustus 2013,id,yudiwbs_id_sms_spam_v1,NEEDS_REVIEW,FRAUD,id_fraud_hint,,,24b20001d87f,ID gap fill from NEEDS_REVIEW. Fill label; keep NEEDS_REVIEW if unsure.,id_gap_fill
