id,text,language,source,orig_label,suggested_label,suggest_reason,label,annotator,template_group,notes
id_yudi_pilot_0000,INFO RESMI PT.TRI CARE PIN Pemenang ( 8jf2177 ) anda m-dptkan HADIAH I unit TOYOTA YARIS U/Info cek pin klik: www.tricare2015.blogspot.com,id,yudiwbs_id_sms_spam_v1,1,FRAUD,id-fraud-keywords,,,9522e7176e26,
id_yudi_pilot_0001,"Naik Lebih Sering, Hemat Lebih Banyak bersama GRAB!  Cukup lakukan 1 perjalanan biasa dengan GRABCAR atau GRABTAXI dan kamu akan OTOMATIS mendapatkan diskon di perjalanan berikutnya! Nikmati diskon bertahap hinga 35ribu/trip, ayo coba dan buktikan!",id,yudiwbs_id_sms_spam_v1,2,AD,id-promo-keywords,,,8c3137906b97,
id_yudi_pilot_0002,"Pelanggan yth,saya mba muliani operator Tri. Telah menghubungi anda tapi tidak tersambung jadi informasi ini saya sampaikan lewat SMS sebelum hadiahnya jatuh tempo. Selamat nomor Tri anda menang undian dr pesta isi ulang pulsa,Pin pemenang (25b17h) segera hubungi kantor Tri jakarta. Tlp; 089660608887 info klik: www.3tricard.blogspot.com",id,yudiwbs_id_sms_spam_v1,1,FRAUD,id-fraud-keywords,,,968cdfa25294,
id_yudi_pilot_0003,Slmt!!No anda Mendpt hadiah Rp.75jt.dari TELKOMSELpoin Diundi tadi mlm Pukul.23:30.wib Di RCTI.info Hub: 085217777509 Drs.H.SRIANTO Pengirim: +777,id,yudiwbs_id_sms_spam_v1,1,FRAUD,id-fraud-keywords,,,8ab04156d99d,
id_yudi_pilot_0004,"da gapapa public juga, asal jangan ada yang dimasukin.",id,yudiwbs_id_sms_spam_v1,0,NEEDS_REVIEW,orig-normal-or-chat,,,601c4e77d5f8,
id_yudi_pilot_0005,"KHUSUS buat kamu. PAKET internet hanya 10ribu dgn kuota 1.5GB selama 30hr, berlaku 24Jam di Jaringan tercepat Indosat. Balas SMS ini ketik YA ke 919 sd 22 Mei 15",id,yudiwbs_id_sms_spam_v1,2,AD,id-promo-keywords,,,08ef37f29dd2,
id_yudi_pilot_0006,itu yang tugas pentaho langsung presentasi di pentaho nya ?,id,yudiwbs_id_sms_spam_v1,0,NEEDS_REVIEW,orig-normal-or-chat,,,e32061b79fe4,
id_yudi_pilot_0007,Oh pantesan tau gitu lgsg foto dipusatnya aja put,id,yudiwbs_id_sms_spam_v1,0,NEEDS_REVIEW,orig-normal-or-chat,,,1ec71d0b6c37,
id_yudi_pilot_0008,Pak saya pake yang 6.0 malah bingung pak,id,yudiwbs_id_sms_spam_v1,0,NEEDS_REVIEW,orig-normal-or-chat,,,f3c59d90c362,
id_yudi_pilot_0009,Smartfren Gratis Mi-Fi/modem 4G Tahun baru saatnya ganti gadget baru Bawa pulang Mi-Fi 4Gm-mu dg tunjukan sms ini ke Galeri SF & isi pulsa 100rb disana s/d 13Jan Info:888,id,yudiwbs_id_sms_spam_v1,2,AD,id-promo-keywords,,,cb9646c59006,
id_yudi_pilot_0010,"Tolong uangnya di transfer aja kesini MANDIRI a/n RAHMAD ADRIAN No rek: 1340-0065-58125 sms aja kalo sdh dikirim, trims",id,yudiwbs_id_sms_spam_v1,1,FRAUD,id-fraud-keywords,,,508cd2c4ee47,
id_yudi_pilot_0011,"SPESIAL utk kamu pelanggan setia Indosat Ooredoo. Bonus 14 hari masa aktif, 10 menit telp dan 100 SMS, CUMA isi ulang s/d 16 Desember 2015. (bonus berlaku 1x)",id,yudiwbs_id_sms_spam_v1,2,AD,id-promo-keywords,,,de1603beed91,
id_yudi_pilot_0012,Yg mau ngampus aku pengen titip bawain SKL aku di prodi😭,id,yudiwbs_id_sms_spam_v1,0,NEEDS_REVIEW,orig-normal-or-chat,,,0ec6fbf57943,
id_yudi_pilot_0013,"Eh di kosan nama1 maksudnya, buat temen nama1 , buat september",id,yudiwbs_id_sms_spam_v1,0,NEEDS_REVIEW,orig-normal-or-chat,,,368edd21e225,
id_yudi_pilot_0014,Gais aku sudah brgkt. Mau matiin hp,id,yudiwbs_id_sms_spam_v1,0,NEEDS_REVIEW,orig-normal-or-chat,,,75b3e942ba97,
id_yudi_pilot_0015,"Penyetoran Angsuran'nya kalau mau di bayar harap Tlp dlu ke atasan sy Bpk IWAN, hp.082319733334, Dri INDOMOBIL FINANCE, Tks",id,yudiwbs_id_sms_spam_v1,1,NEEDS_REVIEW,orig-spam-unclear,,,68d0ab71570f,
id_yudi_pilot_0016,"PAKET BRONET 24JAM 15MB 1hr sudah aktif. Nikmati 15MB berlaku di 00-23.59 aktif s.d 28-08-2016. Promo AXIS lainnya, telp *123#. Info838",id,yudiwbs_id_sms_spam_v1,2,AD,id-promo-keywords,,,43b0e915f219,
