id,text,language,source,binary_label,suggested_label,suggest_reason,label,annotator,template_group,notes
zh_pilot_0000,"【买4G就上www.10010.com】""",zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,deb98cee1e4a,
zh_pilot_0001,你好，我行为企业，个人提供小额贷款，方便快捷，当天放款，有意详询，13925512927杨经理。,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,1044d2334b43,
zh_pilot_0002,查询余额服务：您总账户余额为89.46元。详情为：主账户余额89.46元，副账户余额0.00元。感谢您的使用，中国移动。,zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,3d5017fc72db,
zh_pilot_0003,做生意难，找对市场更难。〖鼎丰国际〗衡阳市中心首家鞋业箱包皮具城为你开辟财富大道，原始旺铺全国火爆招商中…财富热电：0734-8288666,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,78abbb382300,
zh_pilot_0004,真人真钱斗地主、牛牛、扎金花等火爆游戏尽在中华棋牌网，每天三场游戏比赛奖金5888元，资金兑换5分钟到帐，详情登入www.zh444.com,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,4f32f39f54fa,
zh_pilot_0005,360fangdao#：我正在使用360手机卫士防盗功能，能帮我找回被盗手机，推荐你也使用：http://shouji.360.cn,zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,ae7b198c391b,
zh_pilot_0006,【手机软件推荐：天下趣闻】一只绵羊跳下悬崖身亡，1500只绵羊随后从同一处悬崖跳下。这是2013年3月发生在土耳其东部城市盖瓦什的一件新鲜事，想知道为什么吗？天下趣闻为你展示出乎意料的世界！点击下载 http://139url.cn/98r6hc,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,6cbbcffa125b,
zh_pilot_0007,您尾号5595的华夏信用卡于18:03消费人民币94.80元，欲查询可用余额，请回复YE5595【华夏信用卡】,zh,gitcode_zh_sms_8a104,0,TRANSACTION,account/order/auth/logistics-result,,,7a981f74286b,
zh_pilot_0008,会员通知：嗨~很久没来麦包包啦？赠您98元牛皮包，礼品券ESH3D85B2，购包输券即送 mbaobao.com 退订回复TD【麦包包官网】,zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,9afe798846f0,
zh_pilot_0009,kisscat接吻猫女鞋今日品牌团聚划算，30款2013新品最低3.3折189元，全场包邮，现在10点活动已经开抢【聚划算-品牌团】,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,1fb4679ce494,
