id,text,language,source,binary_label,suggest_reason,label,annotator,template_group,notes
zh_00001,女子闯红灯被拦 脱鞋猛抽交警-图[腾讯]-中国移动冲浪助手:http://go.10086.cn/nd/lAz/cJctr,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,NEEDS_REVIEW,,2ae42b99e0f1,冲浪助手推送社会新闻链接，非四类中任何一类典型场景
zh_00002,"套餐余量提醒服务：截至本月05日,您定制的(1)预存返话费捆绑10元流量包包含的数据流量剩余49.15MB;本地数据流量剩余12.90MB;(2)全球通88商旅套餐包含的语音剩余254分钟;数据流量剩余30.00MB;感谢您的使用。",zh,gitcode_zh_sms_8a104,0,account/order/auth/logistics-result,TRANSACTION,,913715947418,套餐余量提醒服务，告知流量/语音剩余，用户预期的业务结果告知
zh_00003,您尾号4118的信用卡28日14:53消费人民币327.62元。9积分抢兑麦当劳鸡翅 t.cn/R7t0CoD 。[招商银行],zh,gitcode_zh_sms_8a104,0,account/order/auth/logistics-result,TRANSACTION,,5ab9597483e7,信用卡消费通知，虽带积分活动尾巴但主意图是交易告知
zh_00004,新日电动车4月30至5月1文化广场大型特卖会，全场半价699元起，购车有礼，旧电动车旧家电均可以旧换新。询18950585318[菲迅咨询],zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,65ea631e4436,新日电动车特卖会，商家打折促销活动
zh_00005,亲，假期过得还好吗？每年春节总是感觉过得很快，需要远行的朋友又要开始准备行囊了。淳度祝您马上幸福，马上成功【淳度家居服】,zh,gitcode_zh_sms_8a104,0,normal-unclear,NEEDS_REVIEW,,f4775129f967,品牌节日问候，带软推销但不构成明确促销意图
zh_00006,今天杭州发生一件很惨的事情！机场路附近一个小孩头被碾碎，详情点击http://wap.189hz.com/r/mYfAJz,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,NEEDS_REVIEW,,ad184d470726,标题党社会新闻诱导点击，非目标域
zh_00008,浦发信用卡祝您生日快乐，如意安康！感谢您对浦发信用卡的支持。【浦发银行】,zh,gitcode_zh_sms_8a104,0,normal-unclear,NEEDS_REVIEW,,c21fd1016bd2,银行生日祝福，无业务结果/促销/诈骗意图
zh_00009,尊敬的用户，恭喜您获得贵州联通“乐享0元秒杀 喜赢iphone5大礼”活动秒杀资格，请于今天下午15点整登录以下链接参与秒杀，iPhone5大奖和300M流量包等你来拿       http://gz.kk3g.net/i/1/w0he9TRs,zh,gitcode_zh_sms_8a104,1,fraud-intent-keywords,FRAUD,,2f7ec2158d9a,假中奖+诱导点击链接领取iPhone，典型诈骗话术
zh_00010,"3 2本硕连读,商科管理专业方向;文理科学生均可报名;科大资深教授授课、双语教学；国外上百所名校自由选择；电话83201027【电子科大】",zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,bcf33cd73bd0,教育培训机构招生广告
zh_00012,【招商证券】601688华泰证券：董事会通过关于公司发行H股股票并在香港上市的议案等；12月11日召开临时股东大会。今复牌。仅供参考，以沪深交易所公告为准,zh,gitcode_zh_sms_8a104,0,normal-unclear,TRANSACTION,,2ff422555a4f,券商上市公司公告/临时股东大会通知，用户订阅的证券信息服务
zh_00013,贵账户1407于01月24日10:04发生直付通/快捷支付扣款，金额人民币50.00，详询95555[招商银行],zh,gitcode_zh_sms_8a104,0,hard-txn-signal-over-promo-footer,TRANSACTION,,d9b59047d243,账户扣款通知
zh_00015,【招商证券】财富收盘版：如近期提示指数继续回调，由于前期累积较多获利筹码需要进一步消化，故已减仓者应耐心等待市场回稳再行介入。仅供参考。,zh,gitcode_zh_sms_8a104,0,normal-unclear,NEEDS_REVIEW,,423121318df8,券商行情分析/投资建议，非典型四类
zh_00016,"空传、进球、过人，年轻的激情尽情挥洒！2013年杭州经济技术开发区第五届佳得乐高校篮球联赛,期待你的参与！详见 http://10006.co/axjb",zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,AD,,7d4fd1152cc4,篮球联赛活动推广
zh_00017,尊敬的客户，您查询的信息如下：中国银行北京东大桥路支行 地址：地址：北京市朝阳区东大桥路8号尚都国际中心Ａ座102、103号房邮编：100020 电话：对私58700438对公58700433理财58700435贷款58700438/58700435传真58700432，以上信息仅供参考。［中国银行］,zh,gitcode_zh_sms_8a104,0,normal-unclear,TRANSACTION,,3b42381afb3c,用户查询的银行支行信息回复
zh_00019,专业ISO认证咨询、验厂咨询、内外审员及管理培训 100通过性价比优 欧小姐18925399301 0760-88631851 中山康达信,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,3d6b5848344c,ISO认证咨询/培训服务推广
zh_00020,您的手机铃音还是千篇一律的歌曲吗？太out啦，回复任意开通“个性化铃音”，可无限量制作自己的专属铃音，五元包月。拨1015558抢先体验,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,69c66a23e2d9,手机彩铃增值业务推广
zh_00021,8月15-17日广州电子化学品展广交会馆举行，电子化学品金属净化、过滤技术先驱3M携低析出高过滤产品亮相，02089899213【振威展览】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,59b36cff3f9c,展会推广
zh_00022,华美人生，滨江传奇！东城央保利东江首府【紫江府】240-480方别墅热销，独享一线江景超大花园，四重园林五星物业八重安防32831888,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,533066a63a29,楼盘别墅促销
