id,text,language,source,orig_label,suggested_label,suggest_reason,label,annotator,template_group,notes
en_otp_web_3768,808321 is the OTP to login to your ICICI direct account. It is valid for 5 mins. OTPs are SECRET. DO NOT disclose it to anyone. ICICI direct NEVER asks for OTP,en,hf_sms_otp_phishing_10k,otp=True;intent=FINANCIAL_LOGIN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,TRANSACTION,cursor-agent,88a891badeaa,ICICI直销账户登录OTP，认证类业务结果，非骗术
en_otp_web_57199,Your code is 7036. Return to the RailWire Wi-Fi website and enter the code to get online.,en,hf_sms_otp_phishing_10k,otp=True;intent=DELIVERY_OR_SERVICE_OTP;phishing=True,FRAUD,source-predicted-phishing,TRANSACTION,cursor-agent,30f364e5a645,RailWire上网验证码，服务接入认证，正文无假冒/索要转账
en_otp_web_17423,064666 is OTP for txn of INR 431.56 at SWIGGY on ICICI Bank Credit Card XX0118. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP.,en,hf_sms_otp_phishing_10k,otp=True;intent=BANK_OR_CARD_TXN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,TRANSACTION,cursor-agent,4c95b56d3152,银行卡交易OTP（Swiggy消费确认），属事务认证
en_otp_web_9301,437741 is the OTP to verify your referral details. Please do not share this OTP with anyone. This OTP is valid for 180 seconds.,en,hf_sms_otp_phishing_10k,otp=True;intent=GENERIC_APP_ACTION_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,TRANSACTION,cursor-agent,8c4ef2f9ddbb,推荐信息核验OTP，应用内认证，无诈骗话术
en_otp_web_33194,"Supr Delivery OTP: 499391

Your bulk order will be delivered CG 33-PJF-9265, between 7:00 AM and 11:00 AM by our Supr Delivery Agent. For the secure delivery of your order, an OTP [One Time Password] has been created for you. Please share this OTP with the delivery agent after you have received and verified all the items in your order.",en,hf_sms_otp_phishing_10k,otp=True;intent=DELIVERY_OR_SERVICE_OTP;phishing=True,FRAUD,source-predicted-phishing,TRANSACTION,cursor-agent,f58d0eb3a9cf,配送签收OTP+物流时段告知，快递取件码属事务
en_otp_web_57661,"To Pay Rs. 79.16 to PAYTM, from your Card XX...3295, use OTP. BEWARE!ONLY fraudsters ask OTP on phone.OTP is 176793.Don't share with anyone.",en,hf_sms_otp_phishing_10k,otp=True;intent=BANK_OR_CARD_TXN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,TRANSACTION,cursor-agent,caa6993d8e40,Paytm付款卡OTP，并警示勿向他人泄露，属交易认证
en_otp_web_58509,142279 is your Pariksha OTP.,en,hf_sms_otp_phishing_10k,otp=True;intent=GENERIC_APP_ACTION_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,TRANSACTION,cursor-agent,76c068aafbc0,Pariksha平台OTP，纯验证码认证
en_otp_web_16488,"255790 is your OTP for User ID 0607503132 ECI User Management. Please enter the OTP to proceed and do not share it with anyone, ECI.",en,hf_sms_otp_phishing_10k,otp=True;intent=KYC_OR_ESIGN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,TRANSACTION,cursor-agent,f52035976689,ECI用户管理OTP，账户操作认证
en_otp_web_16399,276451 is OTP for txn of INR 5172.46 at Licious on ICICI Bank Credit Card XX9689. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP.,en,hf_sms_otp_phishing_10k,otp=True;intent=BANK_OR_CARD_TXN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,TRANSACTION,cursor-agent,c96e69ff13bc,ICICI信用卡交易OTP，消费确认认证
en_otp_web_4550,913804 is OTP for txn of INR 0397.70 at BOOK MY SHO on ICICI Bank Credit Card XX2609. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP.,en,hf_sms_otp_phishing_10k,otp=True;intent=BANK_OR_CARD_TXN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,TRANSACTION,cursor-agent,62b03bbf51b0,ICICI信用卡交易OTP，消费确认认证
en_otp_web_1386,We're unable to confirm Fund Transfer txn of  210000.00 on ICICI Bank Savings Acc XX9204 on 18-OCT-25. To dispute call 18002662. To unblock call 18001080 or 912233667777 if not in India,en,hf_sms_otp_phishing_10k,otp=False;intent=NOT_OTP;phishing=False,NEEDS_REVIEW,source-success-but-not-otp-or-phishing,TRANSACTION,cursor-agent,7c892896b7ef,银行无法确认大额转账的账户业务告知，含官方争议电话
