id,text,language,source,uci_binary,suggested_label,suggest_reason,label,annotator,template_group,notes
uci_pilot_0000,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",en,uci_sms_spam_collection_v1,spam,TRANSACTION,account/order/auth/logistics-result,,,cebfc6471850,
uci_pilot_0001,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch,en,uci_sms_spam_collection_v1,spam,HARASS,adult-dating-debt-harass,,,baac6d7a6ea0,
uci_pilot_0002,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,2ee960a1b7eb,
uci_pilot_0003,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,296d1f592b3c,
uci_pilot_0004,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,6fa9fda514ae,
uci_pilot_0005,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,d48dc0b93e2d,
uci_pilot_0006,Dear good morning now only i am up,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,719bc023ff99,
uci_pilot_0007,Argh why the fuck is nobody in town ;_;,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,218c80babbbd,
uci_pilot_0008,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,a4af12b60a6c,
uci_pilot_0009,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.,en,uci_sms_spam_collection_v1,spam,HARASS,adult-dating-debt-harass,,,9ceefab53ab9,
uci_pilot_0010,Did u got that persons story,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,2935a9632d5f,
