id,text,language,source,orig_label,label,annotator,template_group,notes,reason
iiitd_00000,zyada itrao mat . english meko bi aati hai :-P,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,730edc4dfb41,latin-script-hinglish-or-en-IN;not-devanagari,无关短信，非目标域
iiitd_00001,"is ajnbi dunia me akle 1 khwab hu, swalon se khafa chota sa jawab hu me,jo na smajh sake unk lie ajnbi,or jo samajh sake unk lie khuli kitab hu me...!!!Gudnyt",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,8e72e99f67b0,latin-script-hinglish-or-en-IN;not-devanagari,日常沟通，非四类目标域
iiitd_00002,Husband n wife were opening joint bank ac Husband put d passwrd as 'penis'wife fell off her chair laughing when computer screen said-password not long enough,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,9dc6edb75133,latin-script-hinglish-or-en-IN;not-devanagari,夫妻笑话段子，私人娱乐
iiitd_00003,"Husband Suhag raat pe- Tum ne kabhi Blue Film Dekhi Hai? Wife- Haa 1 Bar. Husbnd-Hum wahi Karenge. Wife- Wo Thik Hai,Par Baaki 2 Ladke Tum Laoge Ya Main bulalu",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,1348cd53d293,latin-script-hinglish-or-en-IN;not-devanagari,私人闲聊，非四类目标域
iiitd_00004,indagi me 5 cheez kabhi bhi aa sakti h 'Hum' 'Hamari call' 'Humara msg' 'Humari misS call' OR...OR..OR... 'HAMARI YAAD' kyun...aayi Na..,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,b2db4ff14ea6,latin-script-hinglish-or-en-IN;not-devanagari,让打电话，闲聊
iiitd_00005,Why do Muslims hate Pigs !!? becz- Pigs produce more babies than muslims.. EGO PROBLEM.!,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,d06da07cd054,latin-script-hinglish-or-en-IN;not-devanagari,日常短信，非目标域
iiitd_00006,"Incase Notice koi na dekha ho,aj evry clas md jake ekbar announc kar dena.",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,c4a153d48bb5,latin-script-hinglish-or-en-IN;not-devanagari,无关短信，非目标域
iiitd_00007,"In your life, when you wake up; dont see any one, then come to me, i ll be there to hold ur hand,take you to the EYE SPECIALIST",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,720f8fe4276e,latin-script-hinglish-or-en-IN;not-devanagari,日常沟通，非四类目标域
iiitd_00008,In world 6 things r GOD's gifts 1 mother's love 2 father's advice 3 brother's care 4 sis's fight 5 Kisi ka pyar & 6.Oye apni DOSTI gdmrng,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,a9ab91e50031,latin-script-hinglish-or-en-IN;not-devanagari,私人爱情表达，非目标域
iiitd_00009,in workshop.,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,d5e5a06857ac,latin-script-hinglish-or-en-IN;not-devanagari,朋友间闲聊，非目标域
