id,text,language,source,prior_label,suggested_label,suggest_reason,label,annotator,template_group,notes,pack_role
uci_00002,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,e0774c76ad85,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00009,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,2267205aa831,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00011,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,1cb8480bbb9b,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00019,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/¨²1.20 POBOXox36504W45WQ 16+",en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,3b8af00c5caa,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00034,Thanks for your subscription to Ringtone UK your mobile will be charged ¡ê5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,64eb90fa4da1,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00042,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,71cf69ab3731,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00054,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,8e1c0f8d02eb,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00056,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,eedcb588d9de,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00068,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,a4f7a02ad6c0,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00095,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,3e6a98e908b9,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00134,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ¡ê1.50 SP:Tyrone,en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,2ae50a43ee0b,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00191,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,c4153ae252e6,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00225,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ¡ê1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,781a19b15e61,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00227,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,73bb50ebc152,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
uci_00259,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,en,uci_sms_spam_collection_v1,AD,AD,freeze_resample_from_labeled,,,c104221dccbe,Dual freeze candidate. Re-label independently; ignore prior_label.,freeze_candidate
