id,text,language,source,prior_label,suggested_label,suggest_reason,label,annotator,template_group,notes,pack_role
uci_03632,Thank you princess! You are so sexy...,en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,50fba9987675,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_03324,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,9e8cf5f74e37,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_02695,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,4762a052cee3,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_04125,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,7eaac6f6c399,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
iiitd_00373,"i) will u go shopping with me? ii) u wer sleeping so deeply, ur mom picked up d fone. bt we didn tok mch. iii) if ur meeting me, den plz bring ur best n latest song collection on a pen drive so tht i cn save it on my laptop. iv) i need to discuss all oder bday stuff with u including hw wil anura b picked up. v) at any cost, i wana kno wot wer u being teased abt in colg. i don wana unecessarily jump to d wrong conclusions or take tension abt u having a girl assistant. vi) preferably wake me up by 9am.",hi,iiitd_sms_spam_v1,NEEDS_REVIEW,HARASS,nr_hint:\bdebt\b|\bcollect(ion|or)\b|\boverdue\b;loan|debt|collection|sexy|casino|gamblin,,,4c550b0eafc1,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_03211,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,9e8cf5f74e37,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_04932,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,a87bb2d10795,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_03668,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,7bb720c5aa3e,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_02849,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,0de513b60c46,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_03128,Thats cool. i liked your photos. You are very sexy!,en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,f09dcb1ea223,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_01773,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,2ed5153215c1,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_02158,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,0de513b60c46,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_04468,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu;loan|debt|collection|sexy|casino|gamblin,,,9e8cf5f74e37,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
id_ss_00244,"Ayah ingin berbicara tentang apartemen jadi saya mendapat awal terlambat, omw sekarang",id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,nr_hint:hutang|penagihan|terlambat|pinjaman|toge,,,5cdb79d3d443,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_02434,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:loan|debt|collection|sexy|casino|gamblin,,,0a8c2a829f7b,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_01692,I don't know but I'm raping dudes at poker,en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu,,,fe1619e27dcc,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_03107,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.",en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:loan|debt|collection|sexy|casino|gamblin,,,e348e955bbb2,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_02696,And whenever you and i see we can still hook up too.,en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu,,,e565d538b3b6,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
id_ss_01091,"Teman-teman yang terkasih, maaf atas keterlambatan informasi.Hari ini adalah ulang tahun kami yang tercinta Ar.Praveesh. untuk lebih banyak rincian login ke muka buku dan lihat.Nombornya + &lt;#&gt; .",id,spamshield_indonesian_v1,NEEDS_REVIEW,HARASS,nr_hint:hutang|penagihan|terlambat|pinjaman|toge,,,28d10f101a74,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
iiitd_00288,"if i sound rude in the following lines, i'm sorry. but i can't keep quiet about something like this.  i'm really disappointed in the company your family keeps (santosh uncle). i was initially happy that tanmay was impressed by him. but what kind of responsible adult encourages/allows a 20-year old boy to smoke? tanmay already has poor will power. and he becomes even more gullible when he's drunk. you know he's a recovering smoking addict. how could you leave him with a man like that? i have always had a",hi,iiitd_sms_spam_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu,,,8d05edff02d5,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_03638,You know what hook up means right?,en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu,,,91eeb9e55c5b,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
uci_02049,So dont use hook up any how,en,uci_sms_spam_collection_v1,NEEDS_REVIEW,HARASS,nr_hint:\bsexy\b|\bhook ?up\b|\bget laid\b|\badu,,,62bfd8e2efaf,Re-label from NEEDS_REVIEW; prefer HARASS vs AD vs FRAUD.,harass_relabel
