row_num,final_label,confidence,rationale
2,AD,中,"医疗推广信息"
3,TRANSACTION,高,"快递/物流服务通知"
4,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
5,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
6,NEEDS_REVIEW,高,"天气预报服务信息"
7,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
8,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
9,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
10,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
11,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
12,TRANSACTION,高,"保险/金融服务通知"
13,AD,中,"医疗推广信息"
14,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
15,TRANSACTION,高,"快递/物流服务通知"
16,AD,高,"包含多个广告特征"
17,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
18,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
19,AD,中,"运营商营销推广"
20,AD,中,"运营商营销推广"
21,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
22,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
23,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
24,TRANSACTION,高,"快递/物流服务通知"
25,TRANSACTION,高,"快递/物流服务通知"
26,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
27,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
28,AD,中,"教育培训推广"
29,AD,高,"包含多个广告特征"
30,HARASS,高,"包含催收/威胁关键词"
31,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
32,NEEDS_REVIEW,高,"天气预报服务信息"
33,HARASS,高,"包含催收/威胁关键词"
34,TRANSACTION,高,"快递/物流服务通知"
35,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
36,TRANSACTION,高,"快递/物流服务通知"
37,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
38,AD,中,"运营商营销推广"
39,TRANSACTION,高,"快递/物流服务通知"
40,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
41,TRANSACTION,高,"快递/物流服务通知"
42,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
43,TRANSACTION,高,"快递/物流服务通知"
44,AD,高,"贷款产品推广广告"
45,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
46,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
47,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
48,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
49,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
50,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
51,TRANSACTION,高,"保险/金融服务通知"
52,TRANSACTION,中,"车辆服务通知"
53,TRANSACTION,高,"快递/物流服务通知"
54,AD,中,"医疗推广信息"
55,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
56,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
57,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
58,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
59,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
60,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
61,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
62,NEEDS_REVIEW,中,"工作/业务通知，需人工判断"
63,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
64,NEEDS_REVIEW,中,"工作/业务通知，需人工判断"
65,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
66,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
67,AD,中,"教育培训推广"
68,TRANSACTION,高,"保险/金融服务通知"
69,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
70,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
71,NEEDS_REVIEW,中,"工作/业务通知，需人工判断"
72,NEEDS_REVIEW,高,"天气预报服务信息"
73,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
74,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
75,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
76,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
77,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
78,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
79,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
80,AD,中,"教育培训推广"
81,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
82,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
83,NEEDS_REVIEW,高,"政府/公益信息"
84,HARASS,高,"包含催收/威胁关键词"
85,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
86,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
87,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
88,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
89,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
90,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
91,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
92,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
93,AD,高,"产品营销广告"
94,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
95,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
96,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
97,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
98,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
99,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
100,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
101,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
102,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
103,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
104,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
105,TRANSACTION,高,"快递/物流服务通知"
106,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
107,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
108,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
109,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
110,TRANSACTION,高,"快递/物流服务通知"
111,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
112,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
113,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
114,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
115,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
116,AD,中,"运营商营销推广"
117,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
118,NEEDS_REVIEW,高,"天气预报服务信息"
119,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
120,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
121,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
122,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
123,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
124,HARASS,高,"包含催收/威胁关键词"
125,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
126,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
127,TRANSACTION,高,"快递/物流服务通知"
128,AD,中,"医疗推广信息"
129,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
130,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
131,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
132,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
133,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
134,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
135,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
136,AD,中,"医疗推广信息"
137,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
138,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
139,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
140,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
141,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
142,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
143,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
144,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
145,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
146,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
147,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
148,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
149,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
150,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
151,TRANSACTION,高,"快递/物流服务通知"
152,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
153,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
154,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
155,AD,高,"包含多个广告特征"
156,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
157,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
158,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
159,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
160,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
161,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
162,AD,中,"医疗推广信息"
163,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
164,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
165,NEEDS_REVIEW,高,"天气预报服务信息"
166,TRANSACTION,高,"快递/物流服务通知"
167,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
168,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
169,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
170,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
171,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
172,TRANSACTION,高,"快递/物流服务通知"
173,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
174,NEEDS_REVIEW,高,"天气预报服务信息"
175,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
176,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
177,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
178,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
179,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
180,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
181,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
182,TRANSACTION,高,"快递/物流服务通知"
183,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
184,TRANSACTION,高,"快递/物流服务通知"
185,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
186,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
187,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
188,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
189,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
190,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
191,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
192,TRANSACTION,高,"快递/物流服务通知"
193,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
194,TRANSACTION,高,"快递/物流服务通知"
195,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
196,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
197,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
198,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
199,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
200,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
201,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
202,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
203,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
204,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
