id,text,language,source,orig_label,label,annotator,template_group,notes,label_reason
id_yudi_00000,"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K",id,yudiwbs_id_sms_spam_v1,2,AD,,296b6a3d030f,,正规运营商Telkomsel促销流量套餐，无诈骗话术
id_yudi_00001,2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,id,yudiwbs_id_sms_spam_v1,2,AD,,6cf8ddf5885c,,运营商套餐价格促销，属于正规商家推销
id_yudi_00002,"2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",id,yudiwbs_id_sms_spam_v1,2,TRANSACTION,,43862231be0b,,告知用户剩余流量额度，属于业务结果通知
id_yudi_00003,"2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",id,yudiwbs_id_sms_spam_v1,2,TRANSACTION,,43862231be0b,,告知用户剩余流量额度，属于业务结果通知
id_yudi_00004,4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,id,yudiwbs_id_sms_spam_v1,2,AD,,c592d4c87733,,运营商套餐价格促销，属于正规商家推销
id_yudi_00005,5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,id,yudiwbs_id_sms_spam_v1,2,AD,,771f308bfdd0,,运营商促销活动，购买套餐送额外话费
id_yudi_00006,"Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111",id,yudiwbs_id_sms_spam_v1,2,AD,,02499264be87,,商家推销彩铃下载服务，属于正规增值业务推广
id_yudi_00007,Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,id,yudiwbs_id_sms_spam_v1,2,AD,,6288dcbacba4,,运营商流量套餐促销，属于正规商家推销
id_yudi_00008,"Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808",id,yudiwbs_id_sms_spam_v1,2,AD,,e36c50f7367c,,商家推销彩铃下载服务，属于正规增值业务推广
id_yudi_00009,Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,id,yudiwbs_id_sms_spam_v1,2,AD,,d32300cab7c6,,运营商促销活动，引导用户领取日常奖励
