id,text,language,source,uci_binary,label,annotator,template_group,notes
uci_00000,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,e6ca314f0a65,私人闲聊/个人对话，无法归入TRANSACTION/AD/HARASS/FRAUD四类
uci_00001,Ok lar... Joking wif u oni...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,e49dc0571db3,私人闲聊/个人对话，无法归入TRANSACTION/AD/HARASS/FRAUD四类
uci_00002,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,en,uci_sms_spam_collection_v1,spam,AD,,e0774c76ad85,FA杯门票竞赛促销，让用户发短信参与竞赛付费，属于正规商业推广
uci_00003,U dun say so early hor... U c already then say...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,e973c8ff4614,私人闲聊/个人对话，无法归入TRANSACTION/AD/HARASS/FRAUD四类
uci_00004,"Nah I don't think he goes to usf, he lives around here though",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,49039a7cc8fc,私人闲聊/个人对话，无法归入TRANSACTION/AD/HARASS/FRAUD四类
uci_00005,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, ¡ê1.50 to rcv",en,uci_sms_spam_collection_v1,spam,HARASS,qa_fix_v1,2ee960a1b7eb,[fix:adult-or-secret-admirer AD->HARASS] FreeMsg服务推广，让用户使用付费短信服务，属于商业广告
uci_00006,Even my brother is not like to speak with me. They treat me like aids patent.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,39c7bfa4a09f,私人闲聊/个人对话，无法归入TRANSACTION/AD/HARASS/FRAUD四类
uci_00007,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,en,uci_sms_spam_collection_v1,ham,TRANSACTION,qa_fix_v1,9b1889bb7594,[fix:callertune-service-result AD->TRANSACTION] 彩铃设置通知，属于付费内容服务推广广告
uci_00008,WINNER!! As a valued network customer you have been selected to receivea ¡ê900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,en,uci_sms_spam_collection_v1,spam,FRAUD,,c26743d0df31,假中奖通知，谎称获得900英镑奖金，要求拨打诈骗电话领取，典型诈骗手法
uci_00009,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,en,uci_sms_spam_collection_v1,spam,AD,,2267205aa831,手机免费升级促销，让用户拨打客服电话更换手机，属于商业推广广告
