id,text,language,source,orig_label,suggested_label,suggest_reason,label,annotator,template_group,notes
en_otp_web_1695,"Dear Customer,
Thank you for choosing Licious. Your order jgvfluvnvtoi will be delivered by 11:01 AM. -Licious",en,hf_sms_otp_phishing_10k,otp=False;intent=NOT_OTP;phishing=False,NEEDS_REVIEW,source-success-but-not-otp-or-phishing,,,4575e29dba62,weak-label;human-review-required;sender-not-exported
en_otp_web_3494,"Dear Lavina Ratanlal Mahbubani, Your vaccination is scheduled for 10-05-2021 11:00AM-12:00PM at Bowring Hospital Covishield 18 ,Your booking reference ID is 95124933860360 and your 4 digits secret code for vaccination is 0360 - CoWIN",en,hf_sms_otp_phishing_10k,otp=True;intent=DELIVERY_OR_SERVICE_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,8442b027526d,weak-label;human-review-required;sender-not-exported
en_otp_web_36877,"Trusted by 50000+ Sellers
Same/Next Day Delivery across 27000+ pin codes
17+ courier @23/500gm 
Get your Free account > https://bit.ly/35KCgrG",en,hf_sms_otp_phishing_10k,otp=False;intent=NOT_OTP;phishing=True,FRAUD,source-predicted-phishing,,,e9431da59ccc,weak-label;human-review-required;sender-not-exported
en_otp_web_58159,"92603 is your One Time Password(OTP) for Jio Join.
Please enter the OTP to continue registration.",en,hf_sms_otp_phishing_10k,otp=True;intent=GENERIC_APP_ACTION_OTP;phishing=True,FRAUD,source-predicted-phishing,,,dfbd0bb9e3eb,weak-label;human-review-required;sender-not-exported
en_otp_web_58510,"965356 is your one time password and it is valid for the next 15 mins. Please do not share this OTP with anyone. Thank you, redBus.",en,hf_sms_otp_phishing_10k,otp=True;intent=DELIVERY_OR_SERVICE_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,62043635b524,weak-label;human-review-required;sender-not-exported
en_otp_web_58058,Your unique verification code for Olacabs is 2138. Thank you.,en,hf_sms_otp_phishing_10k,otp=True;intent=DELIVERY_OR_SERVICE_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,7f77a972b7df,weak-label;human-review-required;sender-not-exported
en_otp_web_29672,The OTP token for your SMS Gupshup Enterprise account (2963983258) is BYVIJY .Please enter the OTP to login into your account.,en,hf_sms_otp_phishing_10k,otp=True;intent=APP_LOGIN_OTP;phishing=True,FRAUD,source-predicted-phishing,,,e8e2832d693d,weak-label;human-review-required;sender-not-exported
en_otp_web_29793,Your Blue Dart Secure Delivery Code is 969384 and its valid for next 30 minutes. Enter this Delivery Code on the device to receive the package.,en,hf_sms_otp_phishing_10k,otp=True;intent=DELIVERY_OR_SERVICE_OTP;phishing=True,FRAUD,source-predicted-phishing,,,896c5af9e752,weak-label;human-review-required;sender-not-exported
en_otp_web_31779,4811 is your delivery OTP for your order number PR16620016870761675. Share it with our delivery executive Yashwanth N ( 9776200115 ) - LoadShare Networks,en,hf_sms_otp_phishing_10k,otp=True;intent=DELIVERY_OR_SERVICE_OTP;phishing=True,FRAUD,source-predicted-phishing,,,815f89372325,weak-label;human-review-required;sender-not-exported
en_otp_web_32176,"Delivery Code for your shipment is 612220. Please share this code with our delivery executive. 
AWB No. XSE22677255
Smartr Logistics | https://smartr.in",en,hf_sms_otp_phishing_10k,otp=True;intent=DELIVERY_OR_SERVICE_OTP;phishing=True,FRAUD,source-predicted-phishing,,,fb2548848a8b,weak-label;human-review-required;sender-not-exported
en_otp_web_57255,Your Google verification code is 629239,en,hf_sms_otp_phishing_10k,otp=True;intent=GENERIC_APP_ACTION_OTP;phishing=True,FRAUD,source-predicted-phishing,,,576be6ee4b2c,weak-label;human-review-required;sender-not-exported
en_otp_web_57202,"WeChat verification code (3203) may only be used once to verify mobile number. For account safety, don't forward the code to others.",en,hf_sms_otp_phishing_10k,otp=True;intent=APP_LOGIN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,8cf505ed59c5,weak-label;human-review-required;sender-not-exported
en_otp_web_12713,208716 is OTP for txn of INR 507.71 at GOOGLEPLAY on ICICI Bank Debit Card XX1566.OTPs are SECRET.DO NOT disclose it to anyone.Bank NEVER asks for OTP.,en,hf_sms_otp_phishing_10k,otp=True;intent=BANK_OR_CARD_TXN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,78a321fc7ca5,weak-label;human-review-required;sender-not-exported
en_otp_web_11582,Your Play Console verification code is 062946,en,hf_sms_otp_phishing_10k,otp=True;intent=GENERIC_APP_ACTION_OTP;phishing=True,FRAUD,source-predicted-phishing,,,be9311050208,weak-label;human-review-required;sender-not-exported
en_otp_web_29678,The OTP token for your SMS Gupshup Enterprise account (1757622772) is MFCXXD .Please enter the OTP to login into your account.,en,hf_sms_otp_phishing_10k,otp=True;intent=APP_LOGIN_OTP;phishing=True,FRAUD,source-predicted-phishing,,,8f44d03b85be,weak-label;human-review-required;sender-not-exported
en_otp_web_12781,638072 is OTP for txn of INR 159.64 at AMAZONRECHA on ICICI Bank Credit Card XX3726. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP.,en,hf_sms_otp_phishing_10k,otp=True;intent=BANK_OR_CARD_TXN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,d82cc02c13d5,weak-label;human-review-required;sender-not-exported
en_otp_web_3763,515229 is the OTP to login to your ICICI direct account. It is valid for 5 mins. OTPs are SECRET. DO NOT disclose it to anyone. ICICI direct NEVER asks for OTP,en,hf_sms_otp_phishing_10k,otp=True;intent=FINANCIAL_LOGIN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,88a891badeaa,weak-label;human-review-required;sender-not-exported
en_otp_web_9990,827421 is your one time password(OTP) for registering as visitor with AWFIS.- AWFIS,en,hf_sms_otp_phishing_10k,otp=True;intent=DELIVERY_OR_SERVICE_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,5d8ed0d1047b,weak-label;human-review-required;sender-not-exported
en_otp_web_22586,356559 is OTP for txn of INR 854.16 at Licious on ICICI Bank Credit Card XX3816. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP.,en,hf_sms_otp_phishing_10k,otp=True;intent=BANK_OR_CARD_TXN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,43f723174da5,weak-label;human-review-required;sender-not-exported
en_otp_web_4657,285866 is OTP for txn of INR 288.40 at SWIGGY FOOD on ICICI Bank Credit Card XX1486. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP.,en,hf_sms_otp_phishing_10k,otp=True;intent=BANK_OR_CARD_TXN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,7cf86516259b,weak-label;human-review-required;sender-not-exported
en_otp_web_9838,"#4834 is your OTP for verification. 

We welcome you to the world of Better Meat at Meatigo! 

Know more via @www.meatigo.com #l1gQ/Pi9A4x -Meatigo",en,hf_sms_otp_phishing_10k,otp=True;intent=GENERIC_APP_ACTION_OTP;phishing=True,FRAUD,source-predicted-phishing,,,0082e3e467f7,weak-label;human-review-required;sender-not-exported
en_otp_web_7807,804461 is the OTP to login to your ICICI direct account. It is valid for 5 mins. OTPs are SECRET. DO NOT disclose it to anyone. ICICI direct NEVER asks for OTP,en,hf_sms_otp_phishing_10k,otp=True;intent=FINANCIAL_LOGIN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,88a891badeaa,weak-label;human-review-required;sender-not-exported
en_otp_web_12738,230071 is OTP for txn of INR 919.26 at GROFERS IND on ICICI Bank Credit Card XX7402. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP.,en,hf_sms_otp_phishing_10k,otp=True;intent=BANK_OR_CARD_TXN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,9df5bfa16d39,weak-label;human-review-required;sender-not-exported
en_otp_web_4760,154923 is OTP for txn of INR 3031.00 at Swiggy Limi on ICICI Bank Credit Card XX8020. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP.,en,hf_sms_otp_phishing_10k,otp=True;intent=BANK_OR_CARD_TXN_OTP;phishing=False,TRANSACTION,source-predicted-legitimate-otp,,,b1c97aa7fca5,weak-label;human-review-required;sender-not-exported
