id,text,language,source,orig_label,suggested_label,suggest_reason,label,annotator,template_group,notes
id_ss_pilot_0000,"Selamat pagi, ada yang sakit kepala. :)",id,spamshield_indonesian_v1,ham:normal,NEEDS_REVIEW,orig-ham-chat-or-unclear,,,f545edf8372f,may-include-mt-uci-style
id_ss_pilot_0001,"URGENT!: Nomor ponsel Anda telah dianugerahkan Bonus Caller Prize £2,000 pada 02/09/03! ini adalah percobaan kedua kami untuk menghubungi Anda! panggilan 0871-872-9755 BOX95QU",id,spamshield_indonesian_v1,spam:spam,NEEDS_REVIEW,orig-spam-unclear,,,cfaff5f98ece,may-include-mt-uci-style
id_ss_pilot_0002,"WIN: Kami memiliki pemenang!T. Foley memenangkan iPod!Penghargaan lebih menarik tidak lama lagi, jadi perhatikan ur mobile atau kunjungi www.win-82050.co.uk",id,spamshield_indonesian_v1,spam:spam,FRAUD,id-fraud-keywords,,,9a9f01493515,may-include-mt-uci-style
id_ss_pilot_0003,Itu bagus. saya suka foto-foto Anda. Anda sangat seksi!,id,spamshield_indonesian_v1,ham:normal,HARASS,id-harass-keywords,,,f468947d5d51,may-include-mt-uci-style
id_ss_pilot_0004,Dapat membantu anda swop dengan mengambil anda dari mana pun ur burung lain r bertemu jika anda inginkan.,id,spamshield_indonesian_v1,ham:normal,NEEDS_REVIEW,orig-ham-chat-or-unclear,,,39ef36d87a78,may-include-mt-uci-style
id_ss_pilot_0005,BIG BROTHER ALERT! komputer telah memilih u untuk uang tunai 10k atau #150 voucher. panggilan 09064018838. NTT PO Box CRO1327 18+ BT Landline Harga 150ppm ponsel bervariasi,id,spamshield_indonesian_v1,spam:spam,AD,id-promo-keywords,,,d66ec912af9f,may-include-mt-uci-style
id_ss_pilot_0006,Gratis masuk ke perhitungan mingguan kami £ 250 hanya mengirimkan kata WIN ke 80086 NOW. 18 T&C www.txttowin.co.uk,id,spamshield_indonesian_v1,spam:spam,AD,id-promo-keywords,,,29cfbc41105e,may-include-mt-uci-style
id_ss_pilot_0007,Anda adalah pemenang yang telah dipilih khusus untuk menerima uang tunai £1000 atau hadiah £2000. Bercakap dengan operator langsung untuk menuntut panggilan 087147123779am-7pm.,id,spamshield_indonesian_v1,spam:spam,FRAUD,id-fraud-keywords,,,bc8124e936f2,may-include-mt-uci-style
id_ss_pilot_0008,Bday real adalah pada bulan April.,id,spamshield_indonesian_v1,ham:normal,NEEDS_REVIEW,orig-ham-chat-or-unclear,,,5739b1fc7783,may-include-mt-uci-style
id_ss_pilot_0009,Ucapan tahniah yang dianugerahkan baik untuk penawaran CD dari Virgin Records atau untuk Misteri Hadiah GARANTI Panggilan 09061104283 Ts&Cs www.smsco.net £1.50pm sekitar 3min,id,spamshield_indonesian_v1,spam:spam,FRAUD,id-fraud-keywords,,,c654d3b5e4d5,may-include-mt-uci-style
